timestamp,event_id,shelf_name,event_type,item_count,frame_number,evidence_filename,details
2026-07-27 20:52:29,Upper_Shelf_EMPTY_1012,Upper_Shelf,EMPTY,0,1012,shelf_Upper_Shelf_EMPTY_20260727_205229_frame_1012.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:30,Lower_Shelf_EMPTY_1016,Lower_Shelf,EMPTY,0,1016,shelf_Lower_Shelf_EMPTY_20260727_205230_frame_1016.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:31,Upper_Shelf_CUSTOMER_INTERACTION_1030,Upper_Shelf,CUSTOMER_INTERACTION,0,1030,shelf_Upper_Shelf_CUSTOMER_INTERACTION_20260727_205231_frame_1030.jpg,Customer approached shelf and started interacting.
2026-07-27 20:52:31,Upper_Shelf_LOW_STOCK_1044,Upper_Shelf,LOW_STOCK,1,1044,shelf_Upper_Shelf_LOW_STOCK_20260727_205231_frame_1044.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:32,Upper_Shelf_EMPTY_1060,Upper_Shelf,EMPTY,0,1060,shelf_Upper_Shelf_EMPTY_20260727_205232_frame_1060.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:32,Upper_Shelf_LOW_STOCK_1064,Upper_Shelf,LOW_STOCK,1,1064,shelf_Upper_Shelf_LOW_STOCK_20260727_205232_frame_1064.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:33,Upper_Shelf_STOCK_RESTOCKING_1067,Upper_Shelf,STOCK_RESTOCKING,1,1067,shelf_Upper_Shelf_STOCK_RESTOCKING_20260727_205233_frame_1067.jpg,Stock replenished from 0 to 1 items.
2026-07-27 20:52:33,Lower_Shelf_CUSTOMER_INTERACTION_1070,Lower_Shelf,CUSTOMER_INTERACTION,0,1070,shelf_Lower_Shelf_CUSTOMER_INTERACTION_20260727_205233_frame_1070.jpg,Customer approached shelf and started interacting.
2026-07-27 20:52:33,Upper_Shelf_EMPTY_1080,Upper_Shelf,EMPTY,0,1080,shelf_Upper_Shelf_EMPTY_20260727_205233_frame_1080.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:33,Upper_Shelf_LOW_STOCK_1081,Upper_Shelf,LOW_STOCK,1,1081,shelf_Upper_Shelf_LOW_STOCK_20260727_205233_frame_1081.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:34,Lower_Shelf_LOW_STOCK_1085,Lower_Shelf,LOW_STOCK,1,1085,shelf_Lower_Shelf_LOW_STOCK_20260727_205234_frame_1085.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:35,Lower_Shelf_EMPTY_1101,Lower_Shelf,EMPTY,0,1101,shelf_Lower_Shelf_EMPTY_20260727_205235_frame_1101.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:36,Upper_Shelf_EMPTY_1122,Upper_Shelf,EMPTY,0,1122,shelf_Upper_Shelf_EMPTY_20260727_205236_frame_1122.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:37,Upper_Shelf_CUSTOMER_INTERACTION_1140,Upper_Shelf,CUSTOMER_INTERACTION,2,1140,shelf_Upper_Shelf_CUSTOMER_INTERACTION_20260727_205237_frame_1140.jpg,Customer approached shelf and started interacting.
2026-07-27 20:52:37,Upper_Shelf_LOW_STOCK_1140,Upper_Shelf,LOW_STOCK,2,1140,shelf_Upper_Shelf_LOW_STOCK_20260727_205237_frame_1140.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:37,Lower_Shelf_LOW_STOCK_1140,Lower_Shelf,LOW_STOCK,1,1140,shelf_Lower_Shelf_LOW_STOCK_20260727_205237_frame_1140.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
