Frame,Timestamp,Raw Occupancy (%),Smoothed Occupancy (%),Traffic Level,Vehicles in ROI
119,2026-07-12 15:26:12.871,0.0,0.0,Low,0
120,2026-07-12 15:26:12.958,0.0,0.0,Low,0
121,2026-07-12 15:26:13.048,0.0,0.0,Low,0
122,2026-07-12 15:26:13.130,0.0,0.0,Low,0
123,2026-07-12 15:26:13.222,0.0,0.0,Low,0
124,2026-07-12 15:26:13.305,0.0,0.0,Low,0
125,2026-07-12 15:26:13.395,0.0,0.0,Low,0
126,2026-07-12 15:26:13.477,0.0,0.0,Low,0
127,2026-07-12 15:26:13.563,0.0,0.0,Low,0
128,2026-07-12 15:26:13.649,0.0,0.0,Low,0
129,2026-07-12 15:26:13.731,0.0,0.0,Low,0
130,2026-07-12 15:26:13.814,0.0,0.0,Low,0
131,2026-07-12 15:26:13.900,0.0,0.0,Low,0
132,2026-07-12 15:26:13.984,0.0,0.0,Low,0
133,2026-07-12 15:26:14.072,0.0,0.0,Low,0
134,2026-07-12 15:26:14.157,0.0,0.0,Low,0
135,2026-07-12 15:26:14.244,0.0,0.0,Low,0
136,2026-07-12 15:26:14.331,0.0,0.0,Low,0
137,2026-07-12 15:26:14.418,0.0,0.0,Low,0
138,2026-07-12 15:26:14.501,0.0,0.0,Low,0
139,2026-07-12 15:26:14.585,0.0,0.0,Low,0
140,2026-07-12 15:26:14.672,0.0,0.0,Low,0
141,2026-07-12 15:26:14.766,0.0,0.0,Low,0
142,2026-07-12 15:26:14.856,0.0,0.0,Low,0
143,2026-07-12 15:26:14.954,0.0,0.0,Low,0
144,2026-07-12 15:26:15.042,0.0,0.0,Low,0
145,2026-07-12 15:26:15.127,0.0,0.0,Low,0
146,2026-07-12 15:26:15.208,0.0,0.0,Low,0
147,2026-07-12 15:26:15.292,0.0,0.0,Low,0
148,2026-07-12 15:26:15.374,0.0,0.0,Low,0
149,2026-07-12 15:26:15.461,0.0,0.0,Low,0
150,2026-07-12 15:26:15.547,0.0,0.0,Low,0
151,2026-07-12 15:26:15.632,0.0,0.0,Low,0
152,2026-07-12 15:26:15.715,0.0,0.0,Low,0
153,2026-07-12 15:26:15.798,0.0,0.0,Low,0
154,2026-07-12 15:26:15.884,0.0,0.0,Low,0
155,2026-07-12 15:26:15.968,0.0,0.0,Low,0
156,2026-07-12 15:26:16.047,0.0,0.0,Low,0
157,2026-07-12 15:26:16.129,0.0,0.0,Low,0
158,2026-07-12 15:26:16.214,0.0,0.0,Low,0
159,2026-07-12 15:26:16.300,0.0,0.0,Low,0
160,2026-07-12 15:26:16.384,0.0,0.0,Low,0
161,2026-07-12 15:26:16.471,0.0,0.0,Low,0
162,2026-07-12 15:26:16.553,0.0,0.0,Low,0
163,2026-07-12 15:26:16.638,0.0,0.0,Low,0
164,2026-07-12 15:26:16.723,0.0,0.0,Low,0
165,2026-07-12 15:26:16.812,0.0,0.0,Low,0
166,2026-07-12 15:26:16.898,0.0,0.0,Low,0
167,2026-07-12 15:26:16.987,0.0,0.0,Low,0
